Sample ID,plot,block,treatment,farming_system,time,N_shoots,C_shoots,N_roots,C_roots
S25,2,A,RC,CONMIN,4w,3.03,43.42,1.42,38.96
S26,2,A,R,CONMIN,4w,2.71,43.54,1.27,39.42
S27,2,A,C,CONMIN,4w,2.7,43.26,1.51,36.52
S28,8,A,RC,BIODYN,4w,3.12,42.72,1.29,41.46
S29,8,A,R,BIODYN,4w,3.35,42.85,1.68,40.51
S30,8,A,C,BIODYN,4w,3.03,42.14,1.28,40.4
S31,42,B,RC,CONMIN,4w,3.11,43.37,1.5,37.82
S32,42,B,R,CONMIN,4w,2.7,43.83,1.36,32.09
S33,42,B,C,CONMIN,4w,3.37,43.91,1.61,39.93
S34,48,B,RC,BIODYN,4w,2.68,42.35,1.33,39.66
S35,48,B,R,BIODYN,4w,2.76,42.4,1.48,40.14
S36,48,B,C,BIODYN,4w,2.67,43.57,1.52,40.17
S37,52,C,RC,BIODYN,4w,2.74,42.49,1.34,40.92
S38,52,C,R,BIODYN,4w,2.73,42.64,1.27,38.94
S39,52,C,C,BIODYN,4w,2.69,42.84,1.42,37.65
S40,58,C,RC,CONMIN,4w,2.63,43.22,1.26,37.81
S41,58,C,R,CONMIN,4w,2.88,43.32,1.55,39.54
S42,58,C,C,CONMIN,4w,2.77,43.37,1.37,37.83
S43,86,D,RC,BIODYN,4w,2.87,42.13,1.39,40.33
S44,86,D,R,BIODYN,4w,2.75,42.92,1.31,38.94
S45,86,D,C,BIODYN,4w,2.83,43.57,1.41,40.35
S46,92,D,RC,CONMIN,4w,3.02,44.83,1.28,34.55
S47,92,D,R,CONMIN,4w,2.79,44.48,1.21,36.6
S48,92,D,C,CONMIN,4w,2.7,44.64,1.22,37.49
S73,2,A,RC,CONMIN,13w,1.42,44.23,1,45.06
S74,2,A,R,CONMIN,13w,1.81,44.29,1,45.3
S75,2,A,C,CONMIN,13w,1.2,42.53,0.84,44.94
S76,8,A,RC,BIODYN,13w,0.98,43.4,0.77,45.39
S77,8,A,R,BIODYN,13w,1.15,43.72,0.78,44.25
S78,8,A,C,BIODYN,13w,0.82,43.16,0.75,46.19
S79,42,B,RC,CONMIN,13w,1.44,44.23,1.06,44.65
S80,42,B,R,CONMIN,13w,1.38,44.48,0.9,44.74
S81,42,B,C,CONMIN,13w,1.3,43.69,0.95,44.62
S82,48,B,RC,BIODYN,13w,0.9,43.36,0.87,42.62
S83,48,B,R,BIODYN,13w,0.81,43.62,0.81,43.59
S84,48,B,C,BIODYN,13w,1.2,43.55,0.79,42.47
S85,52,C,RC,BIODYN,13w,0.82,43.16,0.96,44.08
S86,52,C,R,BIODYN,13w,1.1,43.08,0.86,44.38
S87,52,C,C,BIODYN,13w,0.83,43.33,0.8,45.02
S88,58,C,RC,CONMIN,13w,1.39,43.42,0.96,43.38
S89,58,C,R,CONMIN,13w,1.17,41.98,1.11,43.48
S90,58,C,C,CONMIN,13w,1.31,45.85,0.91,43.22
S91,86,D,RC,BIODYN,13w,0.89,45.15,0.69,43.45
S92,86,D,R,BIODYN,13w,1.16,44.83,0.87,43.49
S93,86,D,C,BIODYN,13w,1.13,44.28,0.8,42.79
S94,92,D,RC,CONMIN,13w,1.52,45.38,1.35,42.88
S95,92,D,R,CONMIN,13w,1.26,45.64,0.85,43.74
S96,92,D,C,CONMIN,13w,1.58,45.53,0.87,42.85
