"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_642","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Claroideoglomeraceae",NA,NA
"ASV_873","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Claroideoglomeraceae","g__Claroideoglomus",NA
"ASV_324","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","s__ignota"
"ASV_691","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Ambisporaceae",NA,NA
"ASV_549","k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus",NA
"ASV_709","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae","g__Palaeospora","s__spainiae"
"ASV_107","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Funneliformis","s__mosseae"
"ASV_39","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","s__nivalis"
"ASV_579","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Funneliformis","s__mosseae"
"ASV_166","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae",NA,NA
"ASV_153","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Diversisporaceae",NA,NA
"ASV_733","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Ambisporaceae","g__Ambispora","s__fennica"
"ASV_546","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","s__nivalis"
"ASV_803","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Ambisporaceae",NA,NA
"ASV_893","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Diversisporaceae",NA,NA
"ASV_870","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Claroideoglomeraceae",NA,NA
"ASV_516","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae",NA,NA
"ASV_668","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","s__nivalis"
"ASV_104","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","s__cavernata"
"ASV_547","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae",NA,NA
"ASV_940","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Ambisporaceae","g__Ambispora","s__fennica"
"ASV_295","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Diversisporaceae",NA,NA
"ASV_111","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","s__nivalis"
"ASV_167","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","s__nivalis"
"ASV_654","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae","g__Palaeospora","s__spainiae"
"ASV_171","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae",NA,NA
"ASV_629","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Diversisporaceae",NA,NA
"ASV_587","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Claroideoglomeraceae",NA,NA
"ASV_878","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae","g__Palaeospora","s__spainiae"
"ASV_566","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae",NA,NA
"ASV_226","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae",NA,NA
