"","reads.in","reads.out"
"Sample_S25_Pacbio.fq",4082,2670
"Sample_S26_Pacbio.fq",10146,6050
"Sample_S27_Pacbio.fq",11844,6668
"Sample_S28_Pacbio.fq",11358,7073
"Sample_S29_Pacbio.fq",12631,7752
"Sample_S30_Pacbio.fq",8861,5407
"Sample_S31_Pacbio.fq",2255,1366
"Sample_S32_Pacbio.fq",11718,7412
"Sample_S33_Pacbio.fq",7585,4870
"Sample_S34_Pacbio.fq",5408,3477
"Sample_S35_Pacbio.fq",12029,6909
"Sample_S36_Pacbio.fq",11969,7441
"Sample_S37_Pacbio.fq",11832,6840
"Sample_S38_Pacbio.fq",10786,6767
"Sample_S39_Pacbio.fq",8059,5100
"Sample_S40_Pacbio.fq",10686,6733
"Sample_S41_Pacbio.fq",7924,4974
"Sample_S42_Pacbio.fq",12774,7752
"Sample_S43_Pacbio.fq",5680,3533
"Sample_S44_Pacbio.fq",19427,12388
"Sample_S45_Pacbio.fq",2572,1628
"Sample_S46_Pacbio.fq",7129,4557
"Sample_S47_Pacbio.fq",13071,8281
"Sample_S48_Pacbio.fq",8281,5188
"Sample_S73_Pacbio.fq",14754,9296
"Sample_S74_Pacbio.fq",14838,9277
"Sample_S75_Pacbio.fq",7467,4867
"Sample_S76_Pacbio.fq",12259,7581
"Sample_S77_Pacbio.fq",15176,9598
"Sample_S78_Pacbio.fq",12302,7519
"Sample_S79_Pacbio.fq",15147,9558
"Sample_S80_Pacbio.fq",14746,9261
"Sample_S81_Pacbio.fq",10562,6385
"Sample_S82_Pacbio.fq",12429,7717
"Sample_S83_Pacbio.fq",10458,6633
"Sample_S84_Pacbio.fq",3665,2246
"Sample_S85_Pacbio.fq",4758,3016
"Sample_S86_Pacbio.fq",10275,6538
"Sample_S87_Pacbio.fq",5571,3486
"Sample_S88_Pacbio.fq",10726,7012
"Sample_S89_Pacbio.fq",18402,11841
"Sample_S90_Pacbio.fq",8815,5246
"Sample_S91_Pacbio.fq",9240,5871
"Sample_S92_Pacbio.fq",8451,5444
"Sample_S93_Pacbio.fq",9196,5471
"Sample_S94_Pacbio.fq",7374,4645
"Sample_S95_Pacbio.fq",7662,4931
"Sample_S96_Pacbio.fq",8785,5657
