"","input","filtered","denoised","nonchim"
"S25",4082,2670,1119,1099
"S26",10146,6050,3788,3788
"S27",11844,6668,5121,5067
"S28",11358,7073,5314,5314
"S29",12631,7752,5359,5359
"S30",8861,5407,4546,4546
"S31",2255,1366,404,404
"S32",11718,7412,5188,5188
"S33",7585,4870,2606,2562
"S34",5408,3477,1380,1271
"S35",12029,6909,3731,3731
"S36",11969,7441,5961,5961
"S37",11832,6840,4594,4594
"S38",10786,6767,4400,4400
"S39",8059,5100,2621,2555
"S40",10686,6733,4541,4541
"S41",7924,4974,2759,2728
"S42",12774,7752,6741,6741
"S43",5680,3533,1685,1653
"S44",19427,12388,11426,11426
"S45",2572,1628,622,622
"S46",7129,4557,1963,1924
"S47",13071,8281,7034,7034
"S48",8281,5188,2993,2918
"S73",14754,9296,7421,7353
"S74",14838,9277,7208,7168
"S75",7467,4867,2370,2350
"S76",12259,7581,6178,6178
"S77",15176,9598,6916,6916
"S78",12302,7519,5788,5788
"S79",15147,9558,8433,8433
"S80",14746,9261,7624,7591
"S81",10562,6385,3758,3758
"S82",12429,7717,3109,3109
"S83",10458,6633,2728,2728
"S84",3665,2246,815,754
"S85",4758,3016,412,412
"S86",10275,6538,1256,1256
"S87",5571,3486,1267,1232
"S88",10726,7012,4099,4082
"S89",18402,11841,7355,7334
"S90",8815,5246,2231,2231
"S91",9240,5871,1646,1646
"S92",8451,5444,1776,1776
"S93",9196,5471,2655,2650
"S94",7374,4645,2219,2219
"S95",7662,4931,1346,1346
"S96",8785,5657,2089,2089
