"","kingdom","phylum","class","order","family","genus","species"
"ASV_421","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_229","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora",NA
"ASV_215","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_847","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_caledonium"
"ASV_509","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_mosseae"
"ASV_561","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_451","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_809","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_256","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora",NA
"ASV_855","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis",NA
"ASV_75","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Cetraspora",NA
"ASV_514","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_57","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","unidentified_609","unidentified_408","Paraglomerales_sp"
"ASV_102","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis",NA
"ASV_124","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","unidentified_410","Diversisporaceae_sp"
"ASV_399","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_331","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Cetraspora",NA
"ASV_284","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified_77","Glomeraceae_sp"
"ASV_716","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_643","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA
"ASV_285","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified_77","Glomeraceae_sp"
"ASV_302","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_caledonium"
"ASV_400","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_431","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA
"ASV_511","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA
"ASV_914","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_912","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae",NA,NA
"ASV_639","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","unidentified_410","Diversisporaceae_sp"
"ASV_604","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_caledonium"
"ASV_262","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_94","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_183","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_378","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"ASV_61","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora",NA
"ASV_679","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_539","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_730","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_184","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","unidentified_609","unidentified_408","Paraglomerales_sp"
"ASV_886","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae",NA,NA
"ASV_101","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora",NA
"ASV_987","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_916","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora","Diversispora_epigaea"
"ASV_89","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_353","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_962","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"ASV_825","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Cetraspora",NA
"ASV_746","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_792","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Cetraspora",NA
"ASV_644","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae",NA,NA
"ASV_329","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_201","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_678","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora",NA
"ASV_938","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_282","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_481","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_mosseae"
"ASV_5","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_95","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"ASV_490","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","unidentified_609","unidentified_408","Paraglomerales_sp"
"ASV_347","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_69","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_21","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora",NA
"ASV_909","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_522","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_caledonium"
"ASV_306","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","unidentified_609","unidentified_408","Paraglomerales_sp"
"ASV_756","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_503","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_mosseae"
"ASV_567","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_710","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae",NA,NA
"ASV_849","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_667","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora",NA
"ASV_794","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_507","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora","Diversispora_epigaea"
"ASV_616","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora","Diversispora_epigaea"
"ASV_176","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_161","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_333","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"ASV_171","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","unidentified_609","unidentified_408","Paraglomerales_sp"
"ASV_550","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Palaeospora","Palaeospora_spainiae"
"ASV_934","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_568","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus",NA
"ASV_737","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae",NA,NA
"ASV_733","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_216","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_622","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_caledonium"
"ASV_81","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_988","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Dominikia","Dominikia_sp"
"ASV_623","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_252","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae",NA,NA
"ASV_945","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_244","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae",NA,NA
"ASV_274","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA
"ASV_729","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae",NA,NA
"ASV_931","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis",NA
"ASV_146","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_108","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Cetraspora",NA
"ASV_556","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_159","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA
"ASV_221","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"ASV_873","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_485","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae","Ambispora",NA
"ASV_612","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_316","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA
"ASV_189","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_caledonium"
"ASV_382","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_764","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_558","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA
"ASV_163","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora",NA
"ASV_819","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","unidentified_410","Diversisporaceae_sp"
"ASV_185","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae","Ambispora",NA
"ASV_78","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","unidentified_609","unidentified_408","Paraglomerales_sp"
"ASV_66","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_749","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified_4174","Claroideoglomeraceae_sp"
"ASV_251","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","unidentified_410","Diversisporaceae_sp"
"ASV_71","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_207","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_930","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae",NA,NA
"ASV_50","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","unidentified_609","unidentified_408","Paraglomerales_sp"
"ASV_602","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae",NA,NA
"ASV_48","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_caledonium"
"ASV_413","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora_sp"
"ASV_220","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","unidentified_609","unidentified_408","Paraglomerales_sp"
"ASV_715","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
"ASV_480","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unidentified_4690","Archaeosporaceae_sp"
